00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 0.9995
02; MSE: inf; cos: 0.9932
03; MSE: inf; cos: 0.9761
04; MSE: inf; cos: 0.9771
05; MSE: inf; cos: 0.9736
06; MSE: inf; cos: 0.9731
07; MSE: inf; cos: 0.9639
08; MSE: inf; cos: 0.9995
09; MSE: inf; cos: 0.9995
10; MSE: 24.9844; cos: 1.0000
11; MSE: 25.2500; cos: 0.9995
12; MSE: inf; cos: 0.9995
13; MSE: inf; cos: 1.0000
14; MSE: inf; cos: 1.0000
15; MSE: inf; cos: 1.0000
16; MSE: inf; cos: 0.9995
17; MSE: inf; cos: 1.0000
18; MSE: inf; cos: 1.0000
19; MSE: inf; cos: 1.0000
20; MSE: inf; cos: 0.9990
21; MSE: inf; cos: 0.9990
22; MSE: 77.7500; cos: 0.9995
23; MSE: 112.5000; cos: 0.9985
24; MSE: 1.1592; cos: 0.7285
